luminaire 1, luminaire 2, luminaire 3
0.00       , 0.00       , 0.00
0.00       , 0.00       , 0.00
25542.16   , 20761.76   , 9024.99
19089.52   , 15079.74   , 7031.70
15489.45   , 12718.33   , 6041.24
13283.66   , 11346.14   , 5196.83
12042.11   , 10010.74   , 4558.09
11121.84   , 9040.45    , 4166.82
10375.29   , 8427.70    , 3816.52
9769.00    , 7785.15    , 3594.59
9341.28    , 7397.34    , 3417.05
8908.21    , 7163.02    , 3313.38
8652.39    , 6929.24    , 3264.89
8409.32    , 6731.33    , 3188.67
8143.59    , 6537.07    , 3156.01
7898.05    , 6399.31    , 3066.89
7704.64    , 6207.03    , 2960.48
7554.17    , 6030.65    , 2967.07
7439.52    , 5924.92    , 2909.62
7403.37    , 5830.21    , 2888.27
7319.20    , 5693.51    , 2891.80
7193.96    , 5591.48    , 2878.75
7095.70    , 5488.33    , 2825.42
7001.01    , 5369.17    , 2776.72
6990.72    , 5317.38    , 2765.36
6917.05    , 5283.51    , 2722.97
6871.16    , 5172.77    , 2688.21
6815.87    , 5189.36    , 2694.22
6756.41    , 5241.47    , 2650.78
6724.85    , 5210.78    , 2590.74
6783.12    , 5258.82    , 2561.32
6774.68    , 5240.81    , 2526.38
6841.88    , 5238.30    , 2493.71
6794.00    , 5235.93    , 2476.79
6735.47    , 5223.56    , 2457.45
6693.42    , 5188.90    , 2426.22
6634.58    , 5168.91    , 2434.92
6616.08    , 5171.75    , 2405.99
6571.54    , 5132.11    , 2393.68
6532.07    , 5112.17    , 2376.03
